Date,Open,High,Low,Close,Volume,Dividends,MSFT-ATH,MSFT-CHG,MSFT-CHG_Perc,MSFT-MV_AVG,MSFT-VOL_CHG_Perc,ITR,ITR-CHG,CPI,CPI-CHG,ITR-CPI,GDP,GDP-CHG,GDP-TRD,SP500-close,SP500-volume,SP500-CLOSE_CHG_Perc,SP500-VOL_CHG_Perc,SP500-CLOSE_Outperf,SP500-VOL_Outperf,Gold-close,Gold-volume,Gold-CLOSE_CHG_Perc,Gold-VOL_CHG_Perc,Gold-CLOSE_Outperf,Gold-VOL_Outperf,predicted,pred_err_perc,close_next_day
2005-01-03,18.702414,18.807093,18.597737,18.660543,65002900,0.000000,0,0.000000,0.000000,0.000000,0.000000,2.280000,0.000000,191.600000,0.000000,0.000000,12767.286000,0.000000,0,1202.079956,1510800000,0.000000,0.000000,0.000000,0.000000,43.020000,4750400,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,18.730333
2005-01-04,18.751269,18.911775,18.604720,18.730333,109442100,0.000000,0,0.000000,0.000000,0.000000,0.000000,2.280000,0.000000,191.600000,0.000000,0.000000,12767.286000,0.000000,0,1188.050049,1721000000,0.000000,0.000000,0.000000,0.000000,42.740002,3456800,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,18.688461
2005-01-05,18.730332,18.911774,18.674504,18.688461,72463500,0.000000,0,0.000000,0.000000,0.000000,0.000000,2.280000,0.000000,191.600000,0.000000,0.000000,12767.286000,0.000000,0,1183.739990,1738900000,0.000000,0.000000,0.000000,0.000000,42.669998,2033600,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,18.667526
2005-01-06,18.737312,18.883860,18.590762,18.667526,76890500,0.000000,0,0.000000,0.000000,0.000000,0.000000,2.280000,0.000000,191.600000,0.000000,0.000000,12767.286000,0.000000,0,1187.890015,1569100000,0.000000,0.000000,0.000000,0.000000,42.150002,2556400,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,18.611694
2005-01-07,18.716372,18.765221,18.576802,18.611694,68723300,0.000000,0,0.000000,0.000000,0.000000,0.000000,2.280000,0.000000,191.600000,0.000000,0.000000,12767.286000,0.000000,0,1186.189941,1477900000,0.000000,0.000000,0.000000,0.000000,41.840000,4492700,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,18.702417
2005-01-10,18.562848,18.744289,18.520977,18.702417,70376600,0.000000,0,0.000000,0.000000,0.000000,0.000000,2.280000,0.000000,191.600000,0.000000,0.000000,12767.286000,0.000000,0,1190.250000,1490400000,0.000000,0.000000,0.000000,0.000000,41.950001,1025800,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,18.653570
2005-01-11,18.625657,18.716377,18.569829,18.653570,64712000,0.000000,0,0.000000,0.000000,0.000000,0.000000,2.280000,0.000000,191.600000,0.000000,0.000000,12767.286000,0.000000,0,1182.989990,1488800000,0.000000,0.000000,0.000000,0.000000,42.209999,1507300,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,18.688461
2005-01-12,18.681483,18.737311,18.576805,18.688461,72940600,0.000000,0,0.000000,0.000000,0.000000,0.000000,2.280000,0.000000,191.600000,0.000000,0.000000,12767.286000,0.000000,0,1187.699951,1562100000,0.000000,0.000000,0.000000,0.000000,42.599998,1738000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,18.332554
2005-01-13,18.618673,18.702414,18.255790,18.332554,89861600,0.000000,0,0.000000,0.000000,0.000000,0.000000,2.280000,0.000000,191.600000,0.000000,0.000000,12767.286000,0.000000,0,1177.449951,1510300000,0.000000,0.000000,0.000000,0.000000,42.599998,718300,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,18.227879
2005-01-14,18.423276,18.458169,18.172051,18.227879,92180800,0.000000,0,0.000000,0.000000,0.000000,0.000000,2.280000,0.000000,191.600000,0.000000,0.000000,12767.286000,0.000000,0,1184.520020,1335400000,0.000000,0.000000,0.000000,0.000000,42.320000,1262300,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,18.367445
